ref_point,mean_ndvi,area_ha,offsets_100m
"[-75.95, 38.05]",0.36,16.12,"[[-35, -37], [-35, -38], [-34, -38], [-34, -39], [-34, -39], [-34, -40], [-33, -40], [-33, -40], [-33, -40], [-33, -42], [-33, -42], [-33, -43], [-32, -43], [-32, -44], [-31, -44], [-31, -45], [-31, -45], [-31, -44], [-32, -44], [-32, -45], [-31, -45], [-31, -46], [-31, -46], [-31, -47], [-32, -47], [-32, -48], [-31, -48], [-31, -48], [-30, -48], [-30, -48], [-30, -48], [-30, -49], [-30, -49], [-30, -49], [-29, -49], [-29, -50], [-30, -50], [-30, -49], [-31, -49], [-31, -49], [-32, -49], [-32, -49], [-31, -49], [-31, -50], [-30, -50], [-30, -51], [-29, -51], [-29, -50], [-28, -50], [-28, -50], [-29, -50], [-29, -49], [-29, -49], [-29, -48], [-30, -48], [-30, -47], [-30, -47], [-30, -47], [-31, -47], [-31, -46], [-31, -46], [-31, -45], [-31, -45], [-31, -45], [-30, -45], [-30, -46], [-30, -46], [-30, -44], [-30, -44], [-30, -43], [-31, -43], [-31, -42], [-31, -42], [-31, -41], [-32, -41], [-32, -40], [-33, -40], [-33, -40], [-33, -40], [-33, -39], [-33, -39], [-33, -38], [-34, -38], [-34, -37], [-34, -37], [-34, -37], [-35, -37]]"
"[-75.95, 38.05]",0.39,9.43,"[[-41, -51], [-41, -54], [-41, -54], [-41, -55], [-41, -55], [-41, -54], [-40, -54], [-40, -55], [-39, -55], [-39, -54], [-39, -54], [-39, -54], [-39, -54], [-39, -54], [-38, -54], [-38, -55], [-38, -55], [-38, -54], [-38, -54], [-38, -55], [-37, -55], [-37, -55], [-37, -55], [-37, -54], [-36, -54], [-36, -55], [-35, -55], [-35, -54], [-36, -54], [-36, -54], [-37, -54], [-37, -53], [-37, -53], [-37, -54], [-39, -53], [-39, -52], [-40, -52], [-40, -51], [-41, -51]]"
"[-75.95, 38.05]",0.37,7.27,"[[-36, -30], [-36, -31], [-36, -31], [-36, -31], [-35, -31], [-35, -34], [-36, -34], [-36, -34], [-37, -34], [-37, -35], [-37, -35], [-37, -36], [-37, -36], [-37, -35], [-36, -35], [-36, -36], [-36, -36], [-36, -35], [-35, -35], [-35, -36], [-35, -36], [-35, -33], [-34, -33], [-34, -32], [-34, -32], [-34, -32], [-33, -32], [-33, -31], [-34, -31], [-34, -32], [-34, -32], [-34, -31], [-35, -31], [-35, -30], [-36, -30]]"
"[-75.95, 38.05]",0.34,6.68,"[[-37, -37], [-37, -38], [-36, -38], [-36, -39], [-36, -39], [-36, -40], [-35, -40], [-35, -41], [-35, -41], [-35, -42], [-35, -42], [-35, -43], [-34, -43], [-34, -43], [-34, -43], [-34, -45], [-33, -45], [-33, -45], [-33, -45], [-33, -46], [-32, -46], [-32, -46], [-33, -46], [-33, -45], [-33, -45], [-33, -45], [-33, -45], [-33, -43], [-34, -43], [-34, -43], [-34, -43], [-34, -41], [-35, -41], [-35, -41], [-35, -41], [-35, -40], [-35, -40], [-35, -39], [-35, -39], [-35, -39], [-35, -39], [-35, -38], [-35, -38], [-35, -37], [-37, -37]]"
"[-75.95, 38.05]",0.42,5.5,"[[-45, -49], [-45, -51], [-44, -51], [-44, -52], [-45, -52], [-45, -54], [-44, -54], [-44, -54], [-45, -54], [-45, -55], [-44, -55], [-44, -53], [-43, -53], [-43, -52], [-43, -52], [-43, -51], [-43, -51], [-43, -50], [-43, -50], [-43, -50], [-44, -50], [-44, -49], [-45, -49]]"
"[-75.95, 38.05]",0.31,2.16,"[[-38, -35], [-38, -38], [-38, -38], [-38, -39], [-38, -39], [-38, -40], [-38, -40], [-38, -39], [-37, -39], [-37, -37], [-38, -37], [-38, -35], [-38, -35]]"
"[-75.95, 38.05]",0.44,1.77,"[[-32, -51], [-32, -51], [-32, -51], [-32, -52], [-32, -52], [-32, -52], [-32, -52], [-32, -53], [-31, -53], [-31, -53], [-31, -53], [-31, -52], [-31, -52], [-31, -51], [-32, -51]]"
"[-75.95, 38.05]",0.31,1.77,"[[-41, -43], [-41, -44], [-41, -44], [-41, -44], [-40, -45], [-40, -45], [-39, -45], [-39, -46], [-39, -46], [-39, -46], [-39, -46], [-39, -45], [-39, -45], [-39, -44], [-41, -44], [-41, -44], [-41, -43]]"
"[-75.95, 38.05]",0.31,1.57,"[[-36, -45], [-36, -45], [-37, -45], [-37, -46], [-37, -46], [-37, -46], [-38, -46], [-38, -47], [-37, -47], [-37, -46], [-37, -46], [-37, -46], [-36, -46], [-36, -46], [-35, -46], [-35, -46], [-36, -46], [-36, -45], [-35, -45], [-35, -45], [-36, -45]]"
"[-75.95, 38.05]",0.35,1.38,"[[-43, -45], [-43, -45], [-44, -45], [-44, -45], [-45, -45], [-45, -46], [-43, -46], [-43, -45], [-43, -45], [-43, -45], [-43, -45]]"
